name,date
A/Frederico_Westphalen/LACENRS_2130/2012|2012-07-26,2012.56557
A/Peru/PER328/2011|2011-06-30,2011.49315
A/Peru/PER034/2011|2011-10-12,2011.77808
A/Peru/PER179/2011|2011-09-03,2011.67123
A/Peru/PER345/2011|2011-09-22,2011.72329
A/Peru/PER097/2011|2011-09-13,2011.69863
A/Peru/PER049/2011|2011-09-20,2011.71781
A/Peru/PER006/2011|2011-08-25,2011.64658
A/Peru/PER041/2011|2011-08-25,2011.64658
A/Peru/PER243/2011|2011-08-31,2011.66301
A/Peru/PER142/2011|2011-10-07,2011.76438
A/Peru/PER152/2011|2011-09-13,2011.69863
A/Peru/PER199/2011|2011-08-29,2011.65753
A/Peru/PER264/2011|2011-09-19,2011.71507
A/Peru/PER282/2011|2011-09-30,2011.74521
A/Peru/PER289/2011|2011-09-02,2011.66849
A/Peru/PER290/2011|2011-08-29,2011.65753
A/Peru/PER385/2011|2011-09-14,2011.70137
A/Peru/PER388/2011|2011-09-14,2011.70137
A/Peru/PER397/2011|2011-09-10,2011.69041
A/Peru/PER287/2011|2011-09-09,2011.68767
A/Peru/PER355/2011|2011-09-06,2011.67945
A/Peru/PER364/2011|2011-09-22,2011.72329
A/Peru/PER378/2011|2011-09-16,2011.70685
A/Peru/PER098/2011|2011-09-15,2011.70411
A/Peru/PER269/2011|2011-09-15,2011.70411
A/Peru/PER118/2011|2011-10-24,2011.81096
A/Peru/PER056/2011|2011-08-23,2011.64110
A/Peru/PER137/2011|2011-08-02,2011.58356
A/Peru/PER149/2011|2011-09-07,2011.68219
A/Peru/PER205/2011|2011-09-12,2011.69589
A/Peru/PER244/2011|2011-08-26,2011.64932
A/Peru/PER268/2011|2011-09-12,2011.69589
A/Peru/PER298/2011|2011-09-07,2011.68219
A/Peru/PER333/2011|2011-09-30,2011.74521
A/Peru/PER394/2011|2011-09-07,2011.68219
A/Peru/PER087/2011|2011-09-13,2011.69863
A/Peru/PER275/2011|2011-09-21,2011.72055
A/Peru/PER130/2011|2011-09-09,2011.68767
A/Peru/PER203/2011|2011-09-14,2011.70137
A/Peru/PER231/2011|2011-09-12,2011.69589
A/Peru/PER185/2011|2011-10-05,2011.75890
A/Peru/PER341/2011|2011-10-25,2011.81370
A/Peru/PER159/2011|2011-09-20,2011.71781
A/Peru/PER322/2011|2011-09-10,2011.69041
A/California/17/2012|2012-01-25,2012.06557
A/Nevada/25usafsam/2012|2012-03-05,2012.17486
A/Soledade/LACENRS_820/2011|2011-07-09,2011.51781
A/Santa_Maria/LACENRS_231/2011|2011-06-14,2011.44932
A/Mexico/VER59/2011|2011-12-09,2011.93699
